"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"14.01.2017 13:00 - 14.01.2017 14:00","33155","32441"
"14.01.2017 14:00 - 14.01.2017 15:00","32164","31950"
"14.01.2017 15:00 - 14.01.2017 16:00","32335","32123"
"14.01.2017 16:00 - 14.01.2017 17:00","33657","33344"
"14.01.2017 17:00 - 14.01.2017 18:00","37284","37421"
"14.01.2017 18:00 - 14.01.2017 19:00","39505","39062"
"14.01.2017 19:00 - 14.01.2017 20:00","39469","39139"
"14.01.2017 20:00 - 14.01.2017 21:00","37519","36728"
"14.01.2017 21:00 - 14.01.2017 22:00","34716","33979"
"14.01.2017 22:00 - 14.01.2017 23:00","32046","31344"
"14.01.2017 23:00 - 15.01.2017 00:00","28991","28757"
"15.01.2017 00:00 - 15.01.2017 01:00","25621","26265"
"15.01.2017 01:00 - 15.01.2017 02:00","23637","24097"
"15.01.2017 02:00 - 15.01.2017 03:00","22395","22706"
"15.01.2017 03:00 - 15.01.2017 04:00","21684","22216"
"15.01.2017 04:00 - 15.01.2017 05:00","21605","22091"
"15.01.2017 05:00 - 15.01.2017 06:00","22185","22432"
"15.01.2017 06:00 - 15.01.2017 07:00","23362","23716"
"15.01.2017 07:00 - 15.01.2017 08:00","24699","25142"
"15.01.2017 08:00 - 15.01.2017 09:00","26431","27057"
"15.01.2017 09:00 - 15.01.2017 10:00","29592","29485"
"15.01.2017 10:00 - 15.01.2017 11:00","31349","31057"
"15.01.2017 11:00 - 15.01.2017 12:00","31701","31415"
"15.01.2017 12:00 - 15.01.2017 13:00","31780","31309"
"15.01.2017 13:00 - 15.01.2017 14:00","29977","29555"
"15.01.2017 14:00 - 15.01.2017 15:00","29518","28953"
"15.01.2017 15:00 - 15.01.2017 16:00","29333","29287"
"15.01.2017 16:00 - 15.01.2017 17:00","29395","30031"
"15.01.2017 17:00 - 15.01.2017 18:00","32301","33663"
"15.01.2017 18:00 - 15.01.2017 19:00","35179","35711"
"15.01.2017 19:00 - 15.01.2017 20:00","36086","36510"
"15.01.2017 20:00 - 15.01.2017 21:00","35677","35416"
"15.01.2017 21:00 - 15.01.2017 22:00","33854","33194"
"15.01.2017 22:00 - 15.01.2017 23:00","31069","30534"
"15.01.2017 23:00 - 16.01.2017 00:00","27810","27479"
"16.01.2017 00:00 - 16.01.2017 01:00","25166","24681"
"16.01.2017 01:00 - 16.01.2017 02:00","23112","22882"
"16.01.2017 02:00 - 16.01.2017 03:00","22362","22133"
"16.01.2017 03:00 - 16.01.2017 04:00","22240","22119"
"16.01.2017 04:00 - 16.01.2017 05:00","22809","22679"
"16.01.2017 05:00 - 16.01.2017 06:00","24786","24996"
"16.01.2017 06:00 - 16.01.2017 07:00","30767","31572"
"16.01.2017 07:00 - 16.01.2017 08:00","38243","39513"
"16.01.2017 08:00 - 16.01.2017 09:00","44351","44533"
"16.01.2017 09:00 - 16.01.2017 10:00","47138","46725"
"16.01.2017 10:00 - 16.01.2017 11:00","47528","46900"
"16.01.2017 11:00 - 16.01.2017 12:00","47302","46521"
"16.01.2017 12:00 - 16.01.2017 13:00","45303","44303"
"16.01.2017 13:00 - 16.01.2017 14:00","44348","43887"
"16.01.2017 14:00 - 16.01.2017 15:00","45512","44731"
"16.01.2017 15:00 - 16.01.2017 16:00","46346","45259"
"16.01.2017 16:00 - 16.01.2017 17:00","47032","46401"
"16.01.2017 17:00 - 16.01.2017 18:00","48908","48540"
"16.01.2017 18:00 - 16.01.2017 19:00","48865","47910"
"16.01.2017 19:00 - 16.01.2017 20:00","47504","46501"
"16.01.2017 20:00 - 16.01.2017 21:00","44736","43493"
"16.01.2017 21:00 - 16.01.2017 22:00","41421","40206"
"16.01.2017 22:00 - 16.01.2017 23:00","36941","35776"
"16.01.2017 23:00 - 17.01.2017 00:00","32897","31986"
"17.01.2017 00:00 - 17.01.2017 01:00","29427","28960"
"17.01.2017 01:00 - 17.01.2017 02:00","27272","27072"
"17.01.2017 02:00 - 17.01.2017 03:00","26172","26150"
"17.01.2017 03:00 - 17.01.2017 04:00","25869","25735"
"17.01.2017 04:00 - 17.01.2017 05:00","26144","26124"
"17.01.2017 05:00 - 17.01.2017 06:00","27684","27983"
"17.01.2017 06:00 - 17.01.2017 07:00","33013","33702"
"17.01.2017 07:00 - 17.01.2017 08:00","40800","40939"
"17.01.2017 08:00 - 17.01.2017 09:00","45909","46169"
"17.01.2017 09:00 - 17.01.2017 10:00","48383","48444"
"17.01.2017 10:00 - 17.01.2017 11:00","48593","49199"
"17.01.2017 11:00 - 17.01.2017 12:00","48410","48806"
"17.01.2017 12:00 - 17.01.2017 13:00","45842","46150"
"17.01.2017 13:00 - 17.01.2017 14:00","44656","45598"
"17.01.2017 14:00 - 17.01.2017 15:00","46006","46444"
"17.01.2017 15:00 - 17.01.2017 16:00","46560","46500"
"17.01.2017 16:00 - 17.01.2017 17:00","47068","47587"
"17.01.2017 17:00 - 17.01.2017 18:00","49493","49309"
"17.01.2017 18:00 - 17.01.2017 19:00","49248","48798"
"17.01.2017 19:00 - 17.01.2017 20:00","48096","47232"
"17.01.2017 20:00 - 17.01.2017 21:00","45351","44287"
"17.01.2017 21:00 - 17.01.2017 22:00","41940","40748"
"17.01.2017 22:00 - 17.01.2017 23:00","37535","36376"
"17.01.2017 23:00 - 18.01.2017 00:00","33062","32696"
"18.01.2017 00:00 - 18.01.2017 01:00","29661","29416"
"18.01.2017 01:00 - 18.01.2017 02:00","27739","27611"
"18.01.2017 02:00 - 18.01.2017 03:00","26774","26575"
"18.01.2017 03:00 - 18.01.2017 04:00","26262","26244"
"18.01.2017 04:00 - 18.01.2017 05:00","26436","26596"
"18.01.2017 05:00 - 18.01.2017 06:00","28094","28482"
"18.01.2017 06:00 - 18.01.2017 07:00","33319","34183"
"18.01.2017 07:00 - 18.01.2017 08:00","40746","41568"
"18.01.2017 08:00 - 18.01.2017 09:00","46297","46282"
"18.01.2017 09:00 - 18.01.2017 10:00","48874","48316"
"18.01.2017 10:00 - 18.01.2017 11:00","49281","48697"
"18.01.2017 11:00 - 18.01.2017 12:00","48839","47829"
"18.01.2017 12:00 - 18.01.2017 13:00","46017","45076"
"18.01.2017 13:00 - 18.01.2017 14:00","44755","44675"
"18.01.2017 14:00 - 18.01.2017 15:00","45707","45806"
"18.01.2017 15:00 - 18.01.2017 16:00","46897","45919"
"18.01.2017 16:00 - 18.01.2017 17:00","47040","46788"
"18.01.2017 17:00 - 18.01.2017 18:00","48868","48893"
"18.01.2017 18:00 - 18.01.2017 19:00","49148","48567"
"18.01.2017 19:00 - 18.01.2017 20:00","47825","47383"
"18.01.2017 20:00 - 18.01.2017 21:00","45156","44455"
"18.01.2017 21:00 - 18.01.2017 22:00","41650","40861"
"18.01.2017 22:00 - 18.01.2017 23:00","37264","36453"
"18.01.2017 23:00 - 19.01.2017 00:00","32964","32565"
"19.01.2017 00:00 - 19.01.2017 01:00","29756","29439"
