"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"21.02.2015 00:00 - 21.02.2015 01:00","28018","27472"
"21.02.2015 01:00 - 21.02.2015 02:00","26101","25670"
"21.02.2015 02:00 - 21.02.2015 03:00","24708","24577"
"21.02.2015 03:00 - 21.02.2015 04:00","24159","24040"
"21.02.2015 04:00 - 21.02.2015 05:00","24127","23837"
"21.02.2015 05:00 - 21.02.2015 06:00","24761","24514"
"21.02.2015 06:00 - 21.02.2015 07:00","27215","27008"
"21.02.2015 07:00 - 21.02.2015 08:00","30210","30298"
"21.02.2015 08:00 - 21.02.2015 09:00","34225","34066"
"21.02.2015 09:00 - 21.02.2015 10:00","37230","36284"
"21.02.2015 10:00 - 21.02.2015 11:00","37666","37096"
"21.02.2015 11:00 - 21.02.2015 12:00","36887","37279"
"21.02.2015 12:00 - 21.02.2015 13:00","35501","35493"
"21.02.2015 13:00 - 21.02.2015 14:00","33498","33870"
"21.02.2015 14:00 - 21.02.2015 15:00","32581","32389"
"21.02.2015 15:00 - 21.02.2015 16:00","32322","31922"
"21.02.2015 16:00 - 21.02.2015 17:00","32362","32670"
"21.02.2015 17:00 - 21.02.2015 18:00","32831","34344"
"21.02.2015 18:00 - 21.02.2015 19:00","36701","37724"
"21.02.2015 19:00 - 21.02.2015 20:00","37340","37978"
"21.02.2015 20:00 - 21.02.2015 21:00","35208","35468"
"21.02.2015 21:00 - 21.02.2015 22:00","32517","32445"
"21.02.2015 22:00 - 21.02.2015 23:00","29784","29899"
"21.02.2015 23:00 - 22.02.2015 00:00","27264","27479"
"22.02.2015 00:00 - 22.02.2015 01:00","25092","25124"
"22.02.2015 01:00 - 22.02.2015 02:00","23204","23188"
"22.02.2015 02:00 - 22.02.2015 03:00","21988","21969"
"22.02.2015 03:00 - 22.02.2015 04:00","21207","21306"
"22.02.2015 04:00 - 22.02.2015 05:00","21019","21151"
"22.02.2015 05:00 - 22.02.2015 06:00","21324","21543"
"22.02.2015 06:00 - 22.02.2015 07:00","22392","22644"
"22.02.2015 07:00 - 22.02.2015 08:00","23211","23448"
"22.02.2015 08:00 - 22.02.2015 09:00","25896","25485"
"22.02.2015 09:00 - 22.02.2015 10:00","28443","28471"
"22.02.2015 10:00 - 22.02.2015 11:00","29904","30069"
"22.02.2015 11:00 - 22.02.2015 12:00","30785","30694"
"22.02.2015 12:00 - 22.02.2015 13:00","30788","30422"
"22.02.2015 13:00 - 22.02.2015 14:00","28447","28378"
"22.02.2015 14:00 - 22.02.2015 15:00","27773","27426"
"22.02.2015 15:00 - 22.02.2015 16:00","27605","27483"
"22.02.2015 16:00 - 22.02.2015 17:00","27801","27254"
"22.02.2015 17:00 - 22.02.2015 18:00","29450","28350"
"22.02.2015 18:00 - 22.02.2015 19:00","32867","32551"
"22.02.2015 19:00 - 22.02.2015 20:00","34015","33869"
"22.02.2015 20:00 - 22.02.2015 21:00","32995","32972"
"22.02.2015 21:00 - 22.02.2015 22:00","31226","31082"
"22.02.2015 22:00 - 22.02.2015 23:00","28796","28461"
"22.02.2015 23:00 - 23.02.2015 00:00","25879","25551"
"23.02.2015 00:00 - 23.02.2015 01:00","23498","23165"
"23.02.2015 01:00 - 23.02.2015 02:00","21979","21656"
"23.02.2015 02:00 - 23.02.2015 03:00","21122","21043"
"23.02.2015 03:00 - 23.02.2015 04:00","20955","20910"
"23.02.2015 04:00 - 23.02.2015 05:00","21617","21257"
"23.02.2015 05:00 - 23.02.2015 06:00","23871","23471"
"23.02.2015 06:00 - 23.02.2015 07:00","29745","29636"
"23.02.2015 07:00 - 23.02.2015 08:00","35685","35332"
"23.02.2015 08:00 - 23.02.2015 09:00","41710","40747"
"23.02.2015 09:00 - 23.02.2015 10:00","44037","42643"
"23.02.2015 10:00 - 23.02.2015 11:00","43891","42224"
"23.02.2015 11:00 - 23.02.2015 12:00","42960","42362"
"23.02.2015 12:00 - 23.02.2015 13:00","40565","39752"
"23.02.2015 13:00 - 23.02.2015 14:00","40512","39731"
"23.02.2015 14:00 - 23.02.2015 15:00","41716","41331"
"23.02.2015 15:00 - 23.02.2015 16:00","42029","41707"
"23.02.2015 16:00 - 23.02.2015 17:00","41792","41545"
"23.02.2015 17:00 - 23.02.2015 18:00","40760","41502"
"23.02.2015 18:00 - 23.02.2015 19:00","43455","43851"
"23.02.2015 19:00 - 23.02.2015 20:00","43156","43274"
"23.02.2015 20:00 - 23.02.2015 21:00","40665","40696"
"23.02.2015 21:00 - 23.02.2015 22:00","37559","37701"
"23.02.2015 22:00 - 23.02.2015 23:00","33535","33876"
"23.02.2015 23:00 - 24.02.2015 00:00","29895","30362"
"24.02.2015 00:00 - 24.02.2015 01:00","27033","27160"
"24.02.2015 01:00 - 24.02.2015 02:00","25327","25289"
"24.02.2015 02:00 - 24.02.2015 03:00","24452","24497"
"24.02.2015 03:00 - 24.02.2015 04:00","24148","24311"
"24.02.2015 04:00 - 24.02.2015 05:00","24462","24552"
"24.02.2015 05:00 - 24.02.2015 06:00","26208","26388"
"24.02.2015 06:00 - 24.02.2015 07:00","31478","31434"
"24.02.2015 07:00 - 24.02.2015 08:00","36817","37120"
"24.02.2015 08:00 - 24.02.2015 09:00","41546","42700"
"24.02.2015 09:00 - 24.02.2015 10:00","44034","44829"
"24.02.2015 10:00 - 24.02.2015 11:00","44185","44795"
"24.02.2015 11:00 - 24.02.2015 12:00","43968","44830"
"24.02.2015 12:00 - 24.02.2015 13:00","41986","42414"
"24.02.2015 13:00 - 24.02.2015 14:00","41017","42053"
"24.02.2015 14:00 - 24.02.2015 15:00","41753","42654"
"24.02.2015 15:00 - 24.02.2015 16:00","42477","43130"
"24.02.2015 16:00 - 24.02.2015 17:00","41848","43345"
"24.02.2015 17:00 - 24.02.2015 18:00","41498","43554"
"24.02.2015 18:00 - 24.02.2015 19:00","43823","45183"
"24.02.2015 19:00 - 24.02.2015 20:00","43510","44378"
"24.02.2015 20:00 - 24.02.2015 21:00","40759","41510"
"24.02.2015 21:00 - 24.02.2015 22:00","37381","38183"
"24.02.2015 22:00 - 24.02.2015 23:00","33567","34227"
"24.02.2015 23:00 - 25.02.2015 00:00","29999","30726"
"25.02.2015 00:00 - 25.02.2015 01:00","27050","27831"
"25.02.2015 01:00 - 25.02.2015 02:00","25272","26105"
"25.02.2015 02:00 - 25.02.2015 03:00","24628","25236"
"25.02.2015 03:00 - 25.02.2015 04:00","24488","24791"
"25.02.2015 04:00 - 25.02.2015 05:00","24674","25067"
"25.02.2015 05:00 - 25.02.2015 06:00","26500","26785"
"25.02.2015 06:00 - 25.02.2015 07:00","31682","32149"
"25.02.2015 07:00 - 25.02.2015 08:00","37479","37552"
"25.02.2015 08:00 - 25.02.2015 09:00","42505","42664"
"25.02.2015 09:00 - 25.02.2015 10:00","44342","44847"
"25.02.2015 10:00 - 25.02.2015 11:00","44104","44609"
"25.02.2015 11:00 - 25.02.2015 12:00","43962","43691"
"25.02.2015 12:00 - 25.02.2015 13:00","41770","42014"
"25.02.2015 13:00 - 25.02.2015 14:00","40968","41441"
"25.02.2015 14:00 - 25.02.2015 15:00","42055","41943"
"25.02.2015 15:00 - 25.02.2015 16:00","42763","42559"
"25.02.2015 16:00 - 25.02.2015 17:00","42230","42444"
"25.02.2015 17:00 - 25.02.2015 18:00","42202","42553"
"25.02.2015 18:00 - 25.02.2015 19:00","44197","44994"
"25.02.2015 19:00 - 25.02.2015 20:00","43874","44397"
"25.02.2015 20:00 - 25.02.2015 21:00","41018","41659"
"25.02.2015 21:00 - 25.02.2015 22:00","37529","38417"
"25.02.2015 22:00 - 25.02.2015 23:00","33788","34439"
"25.02.2015 23:00 - 26.02.2015 00:00","30075","30955"
"26.02.2015 00:00 - 26.02.2015 01:00","27260","27934"
"26.02.2015 01:00 - 26.02.2015 02:00","25643","26176"
"26.02.2015 02:00 - 26.02.2015 03:00","24820","25149"
"26.02.2015 03:00 - 26.02.2015 04:00","24505","24780"
"26.02.2015 04:00 - 26.02.2015 05:00","24847","25013"
"26.02.2015 05:00 - 26.02.2015 06:00","26753","26810"
"26.02.2015 06:00 - 26.02.2015 07:00","31962","32122"
"26.02.2015 07:00 - 26.02.2015 08:00","37671","37476"
"26.02.2015 08:00 - 26.02.2015 09:00","42362","42493"
"26.02.2015 09:00 - 26.02.2015 10:00","44140","44131"
"26.02.2015 10:00 - 26.02.2015 11:00","43673","43868"
"26.02.2015 11:00 - 26.02.2015 12:00","43627","43813"
"26.02.2015 12:00 - 26.02.2015 13:00","41473","41323"
"26.02.2015 13:00 - 26.02.2015 14:00","40672","40462"
"26.02.2015 14:00 - 26.02.2015 15:00","41701","41233"
"26.02.2015 15:00 - 26.02.2015 16:00","42219","41188"
"26.02.2015 16:00 - 26.02.2015 17:00","41762","41308"
"26.02.2015 17:00 - 26.02.2015 18:00","41909","41240"
"26.02.2015 18:00 - 26.02.2015 19:00","44197","43809"
"26.02.2015 19:00 - 26.02.2015 20:00","43957","43793"
"26.02.2015 20:00 - 26.02.2015 21:00","41167","41076"
"26.02.2015 21:00 - 26.02.2015 22:00","37729","37917"
"26.02.2015 22:00 - 26.02.2015 23:00","34120","34281"
"26.02.2015 23:00 - 27.02.2015 00:00","30446","30792"
"27.02.2015 00:00 - 27.02.2015 01:00","27718","27761"
"27.02.2015 01:00 - 27.02.2015 02:00","26106","25776"
"27.02.2015 02:00 - 27.02.2015 03:00","25232","24733"
"27.02.2015 03:00 - 27.02.2015 04:00","24833","24464"
"27.02.2015 04:00 - 27.02.2015 05:00","25117","24718"
"27.02.2015 05:00 - 27.02.2015 06:00","26895","26404"
"27.02.2015 06:00 - 27.02.2015 07:00","31876","31694"
"27.02.2015 07:00 - 27.02.2015 08:00","37213","37305"
"27.02.2015 08:00 - 27.02.2015 09:00","42052","42342"
"27.02.2015 09:00 - 27.02.2015 10:00","44206","43706"
"27.02.2015 10:00 - 27.02.2015 11:00","44165","42961"
"27.02.2015 11:00 - 27.02.2015 12:00","43784","41988"
"27.02.2015 12:00 - 27.02.2015 13:00","41532","39383"
"27.02.2015 13:00 - 27.02.2015 14:00","40724","38684"
"27.02.2015 14:00 - 27.02.2015 15:00","40870","39556"
"27.02.2015 15:00 - 27.02.2015 16:00","41126","39741"
"27.02.2015 16:00 - 27.02.2015 17:00","40911","40586"
"27.02.2015 17:00 - 27.02.2015 18:00","41208","41223"
"27.02.2015 18:00 - 27.02.2015 19:00","43764","44514"
"27.02.2015 19:00 - 27.02.2015 20:00","43649","44446"
"27.02.2015 20:00 - 27.02.2015 21:00","40762","41502"
"27.02.2015 21:00 - 27.02.2015 22:00","37463","38064"
"27.02.2015 22:00 - 27.02.2015 23:00","33801","34068"
"27.02.2015 23:00 - 28.02.2015 00:00","30550","30390"
"28.02.2015 00:00 - 28.02.2015 01:00","27776","27541"
"28.02.2015 01:00 - 28.02.2015 02:00","25896","25415"
"28.02.2015 02:00 - 28.02.2015 03:00","24698","24220"
"28.02.2015 03:00 - 28.02.2015 04:00","24217","23787"
"28.02.2015 04:00 - 28.02.2015 05:00","24000","23767"
"28.02.2015 05:00 - 28.02.2015 06:00","24555","24335"
"28.02.2015 06:00 - 28.02.2015 07:00","26694","26639"
"28.02.2015 07:00 - 28.02.2015 08:00","29890","29498"
"28.02.2015 08:00 - 28.02.2015 09:00","33559","33309"
"28.02.2015 09:00 - 28.02.2015 10:00","35888","35647"
"28.02.2015 10:00 - 28.02.2015 11:00","36430","35373"
"28.02.2015 11:00 - 28.02.2015 12:00","36209","34399"
"28.02.2015 12:00 - 28.02.2015 13:00","34311","32961"
"28.02.2015 13:00 - 28.02.2015 14:00","32332","30987"
"28.02.2015 14:00 - 28.02.2015 15:00","31163","30272"
"28.02.2015 15:00 - 28.02.2015 16:00","30891","30332"
"28.02.2015 16:00 - 28.02.2015 17:00","31373","30279"
"28.02.2015 17:00 - 28.02.2015 18:00","32988","31328"
"28.02.2015 18:00 - 28.02.2015 19:00","36511","35673"
"28.02.2015 19:00 - 28.02.2015 20:00","37305","36919"
"28.02.2015 20:00 - 28.02.2015 21:00","34924","34490"
"28.02.2015 21:00 - 28.02.2015 22:00","31923","31913"
"28.02.2015 22:00 - 28.02.2015 23:00","29362","29406"
"28.02.2015 23:00 - 01.03.2015 00:00","26910","26777"
"01.03.2015 00:00 - 01.03.2015 01:00","24613","24504"
"01.03.2015 01:00 - 01.03.2015 02:00","22781","22599"
"01.03.2015 02:00 - 01.03.2015 03:00","21674","21473"
"01.03.2015 03:00 - 01.03.2015 04:00","20960","20813"
"01.03.2015 04:00 - 01.03.2015 05:00","20837","20604"
"01.03.2015 05:00 - 01.03.2015 06:00","21164","21078"
"01.03.2015 06:00 - 01.03.2015 07:00","21860","21771"
"01.03.2015 07:00 - 01.03.2015 08:00","22891","22633"
"01.03.2015 08:00 - 01.03.2015 09:00","24731","25430"
"01.03.2015 09:00 - 01.03.2015 10:00","27490","27676"
"01.03.2015 10:00 - 01.03.2015 11:00","29336","28722"
"01.03.2015 11:00 - 01.03.2015 12:00","30140","28644"
"01.03.2015 12:00 - 01.03.2015 13:00","30014","28520"
"01.03.2015 13:00 - 01.03.2015 14:00","28008","27130"
"01.03.2015 14:00 - 01.03.2015 15:00","26841","27048"
"01.03.2015 15:00 - 01.03.2015 16:00","26788","26809"
"01.03.2015 16:00 - 01.03.2015 17:00","26741","26381"
"01.03.2015 17:00 - 01.03.2015 18:00","27947","27034"
"01.03.2015 18:00 - 01.03.2015 19:00","31789","31558"
"01.03.2015 19:00 - 01.03.2015 20:00","33375","33285"
"01.03.2015 20:00 - 01.03.2015 21:00","32421","32306"
"01.03.2015 21:00 - 01.03.2015 22:00","30486","30660"
"01.03.2015 22:00 - 01.03.2015 23:00","28097","28058"
"01.03.2015 23:00 - 02.03.2015 00:00","25340","25319"
"02.03.2015 00:00 - 02.03.2015 01:00","23308","22728"
"02.03.2015 01:00 - 02.03.2015 02:00","21807","21127"
"02.03.2015 02:00 - 02.03.2015 03:00","21108","20464"
"02.03.2015 03:00 - 02.03.2015 04:00","20917","20456"
"02.03.2015 04:00 - 02.03.2015 05:00","21357","21041"
"02.03.2015 05:00 - 02.03.2015 06:00","23519","23285"
"02.03.2015 06:00 - 02.03.2015 07:00","29189","29149"
"02.03.2015 07:00 - 02.03.2015 08:00","34635","34957"
"02.03.2015 08:00 - 02.03.2015 09:00","40082","40180"
"02.03.2015 09:00 - 02.03.2015 10:00","42198","42316"
"02.03.2015 10:00 - 02.03.2015 11:00","41756","42322"
"02.03.2015 11:00 - 02.03.2015 12:00","41804","42554"
"02.03.2015 12:00 - 02.03.2015 13:00","39549","40170"
"02.03.2015 13:00 - 02.03.2015 14:00","39572","40043"
"02.03.2015 14:00 - 02.03.2015 15:00","39985","41372"
"02.03.2015 15:00 - 02.03.2015 16:00","39900","41622"
"02.03.2015 16:00 - 02.03.2015 17:00","39958","41105"
"02.03.2015 17:00 - 02.03.2015 18:00","39968","40273"
"02.03.2015 18:00 - 02.03.2015 19:00","42626","42022"
"02.03.2015 19:00 - 02.03.2015 20:00","42773","42436"
"02.03.2015 20:00 - 02.03.2015 21:00","40464","40226"
"02.03.2015 21:00 - 02.03.2015 22:00","37409","37576"
"02.03.2015 22:00 - 02.03.2015 23:00","33645","33743"
"02.03.2015 23:00 - 03.03.2015 00:00","30155","30490"
"03.03.2015 00:00 - 03.03.2015 01:00","26943","27501"
"03.03.2015 01:00 - 03.03.2015 02:00","24973","25598"
"03.03.2015 02:00 - 03.03.2015 03:00","24081","24485"
"03.03.2015 03:00 - 03.03.2015 04:00","23908","24242"
"03.03.2015 04:00 - 03.03.2015 05:00","24298","24370"
"03.03.2015 05:00 - 03.03.2015 06:00","25993","26219"
"03.03.2015 06:00 - 03.03.2015 07:00","30965","31018"
"03.03.2015 07:00 - 03.03.2015 08:00","36627","36387"
"03.03.2015 08:00 - 03.03.2015 09:00","41552","41218"
"03.03.2015 09:00 - 03.03.2015 10:00","43478","42098"
"03.03.2015 10:00 - 03.03.2015 11:00","43248","41222"
"03.03.2015 11:00 - 03.03.2015 12:00","43336","40613"
"03.03.2015 12:00 - 03.03.2015 13:00","40152","38239"
"03.03.2015 13:00 - 03.03.2015 14:00","40153","38616"
"03.03.2015 14:00 - 03.03.2015 15:00","41203","40056"
"03.03.2015 15:00 - 03.03.2015 16:00","41907","40413"
"03.03.2015 16:00 - 03.03.2015 17:00","41939","40222"
"03.03.2015 17:00 - 03.03.2015 18:00","42216","39738"
"03.03.2015 18:00 - 03.03.2015 19:00","44099","42720"
"03.03.2015 19:00 - 03.03.2015 20:00","43564","43402"
"03.03.2015 20:00 - 03.03.2015 21:00","40783","41065"
"03.03.2015 21:00 - 03.03.2015 22:00","37438","37848"
"03.03.2015 22:00 - 03.03.2015 23:00","33577","33912"
"03.03.2015 23:00 - 04.03.2015 00:00","29829","30508"
"04.03.2015 00:00 - 04.03.2015 01:00","27756","27349"
"04.03.2015 01:00 - 04.03.2015 02:00","25900","25881"
"04.03.2015 02:00 - 04.03.2015 03:00","24798","25039"
"04.03.2015 03:00 - 04.03.2015 04:00","24504","24551"
"04.03.2015 04:00 - 04.03.2015 05:00","24728","24947"
"04.03.2015 05:00 - 04.03.2015 06:00","26582","26656"
"04.03.2015 06:00 - 04.03.2015 07:00","31229","31079"
"04.03.2015 07:00 - 04.03.2015 08:00","36544","36598"
"04.03.2015 08:00 - 04.03.2015 09:00","41226","41263"
"04.03.2015 09:00 - 04.03.2015 10:00","42398","43018"
"04.03.2015 10:00 - 04.03.2015 11:00","42722","42756"
"04.03.2015 11:00 - 04.03.2015 12:00","42580","42586"
"04.03.2015 12:00 - 04.03.2015 13:00","40472","40328"
"04.03.2015 13:00 - 04.03.2015 14:00","40347","39418"
"04.03.2015 14:00 - 04.03.2015 15:00","41471","40938"
"04.03.2015 15:00 - 04.03.2015 16:00","41768","41478"
"04.03.2015 16:00 - 04.03.2015 17:00","41389","42144"
"04.03.2015 17:00 - 04.03.2015 18:00","40572","41974"
"04.03.2015 18:00 - 04.03.2015 19:00","42217","43765"
"04.03.2015 19:00 - 04.03.2015 20:00","43026","43267"
"04.03.2015 20:00 - 04.03.2015 21:00","40633","40647"
"04.03.2015 21:00 - 04.03.2015 22:00","37824","37487"
"04.03.2015 22:00 - 04.03.2015 23:00","34046","33706"
"04.03.2015 23:00 - 05.03.2015 00:00","30728","30314"
"05.03.2015 00:00 - 05.03.2015 01:00","27685","27582"
"05.03.2015 01:00 - 05.03.2015 02:00","26164","25878"
"05.03.2015 02:00 - 05.03.2015 03:00","25352","25010"
"05.03.2015 03:00 - 05.03.2015 04:00","24782","24873"
"05.03.2015 04:00 - 05.03.2015 05:00","25220","25171"
"05.03.2015 05:00 - 05.03.2015 06:00","26966","26683"
"05.03.2015 06:00 - 05.03.2015 07:00","31543","31457"
"05.03.2015 07:00 - 05.03.2015 08:00","36937","36534"
"05.03.2015 08:00 - 05.03.2015 09:00","41681","41029"
"05.03.2015 09:00 - 05.03.2015 10:00","43191","43555"
"05.03.2015 10:00 - 05.03.2015 11:00","43444","44067"
"05.03.2015 11:00 - 05.03.2015 12:00","43055","43836"
"05.03.2015 12:00 - 05.03.2015 13:00","40734","41095"
"05.03.2015 13:00 - 05.03.2015 14:00","39898","40190"
"05.03.2015 14:00 - 05.03.2015 15:00","41441","40953"
"05.03.2015 15:00 - 05.03.2015 16:00","41520","41123"
"05.03.2015 16:00 - 05.03.2015 17:00","40899","41140"
"05.03.2015 17:00 - 05.03.2015 18:00","39866","40701"
"05.03.2015 18:00 - 05.03.2015 19:00","42396","43184"
"05.03.2015 19:00 - 05.03.2015 20:00","43615","43562"
"05.03.2015 20:00 - 05.03.2015 21:00","41245","40804"
"05.03.2015 21:00 - 05.03.2015 22:00","38264","37670"
"05.03.2015 22:00 - 05.03.2015 23:00","34710","33781"
"05.03.2015 23:00 - 06.03.2015 00:00","31338","30246"
"06.03.2015 00:00 - 06.03.2015 01:00","28472","27486"
"06.03.2015 01:00 - 06.03.2015 02:00","26711","25650"
"06.03.2015 02:00 - 06.03.2015 03:00","25629","24760"
"06.03.2015 03:00 - 06.03.2015 04:00","25323","24581"
"06.03.2015 04:00 - 06.03.2015 05:00","25453","24935"
"06.03.2015 05:00 - 06.03.2015 06:00","26801","26414"
"06.03.2015 06:00 - 06.03.2015 07:00","30982","30981"
"06.03.2015 07:00 - 06.03.2015 08:00","35834","36625"
"06.03.2015 08:00 - 06.03.2015 09:00","40572","41868"
"06.03.2015 09:00 - 06.03.2015 10:00","42659","43952"
"06.03.2015 10:00 - 06.03.2015 11:00","43274","44283"
"06.03.2015 11:00 - 06.03.2015 12:00","42454","44006"
"06.03.2015 12:00 - 06.03.2015 13:00","40361","41706"
"06.03.2015 13:00 - 06.03.2015 14:00","39305","41070"
"06.03.2015 14:00 - 06.03.2015 15:00","40647","41417"
"06.03.2015 15:00 - 06.03.2015 16:00","40550","41267"
"06.03.2015 16:00 - 06.03.2015 17:00","40741","40822"
"06.03.2015 17:00 - 06.03.2015 18:00","40099","40128"
"06.03.2015 18:00 - 06.03.2015 19:00","42756","42337"
"06.03.2015 19:00 - 06.03.2015 20:00","43292","43099"
"06.03.2015 20:00 - 06.03.2015 21:00","40736","40354"
"06.03.2015 21:00 - 06.03.2015 22:00","37613","37215"
"06.03.2015 22:00 - 06.03.2015 23:00","34146","33348"
"06.03.2015 23:00 - 07.03.2015 00:00","30896","30059"
"07.03.2015 00:00 - 07.03.2015 01:00","27326","27022"
"07.03.2015 01:00 - 07.03.2015 02:00","25310","25227"
"07.03.2015 02:00 - 07.03.2015 03:00","24403","24222"
"07.03.2015 03:00 - 07.03.2015 04:00","24033","23776"
"07.03.2015 04:00 - 07.03.2015 05:00","24041","23649"
"07.03.2015 05:00 - 07.03.2015 06:00","24606","24531"
"07.03.2015 06:00 - 07.03.2015 07:00","26335","26242"
"07.03.2015 07:00 - 07.03.2015 08:00","29773","29287"
"07.03.2015 08:00 - 07.03.2015 09:00","33139","33393"
"07.03.2015 09:00 - 07.03.2015 10:00","35518","35559"
"07.03.2015 10:00 - 07.03.2015 11:00","35458","35743"
"07.03.2015 11:00 - 07.03.2015 12:00","34809","35238"
"07.03.2015 12:00 - 07.03.2015 13:00","33332","33408"
"07.03.2015 13:00 - 07.03.2015 14:00","31590","31498"
"07.03.2015 14:00 - 07.03.2015 15:00","30760","30502"
"07.03.2015 15:00 - 07.03.2015 16:00","30445","30394"
"07.03.2015 16:00 - 07.03.2015 17:00","30732","30382"
"07.03.2015 17:00 - 07.03.2015 18:00","31820","31133"
"07.03.2015 18:00 - 07.03.2015 19:00","35824","35148"
"07.03.2015 19:00 - 07.03.2015 20:00","37792","36919"
"07.03.2015 20:00 - 07.03.2015 21:00","35152","34386"
"07.03.2015 21:00 - 07.03.2015 22:00","32556","31477"
"07.03.2015 22:00 - 07.03.2015 23:00","29948","29132"
"07.03.2015 23:00 - 08.03.2015 00:00","27076","26465"
"08.03.2015 00:00 - 08.03.2015 01:00","24062","24268"
"08.03.2015 01:00 - 08.03.2015 02:00","22276","22338"
"08.03.2015 02:00 - 08.03.2015 03:00","21155","21197"
"08.03.2015 03:00 - 08.03.2015 04:00","20596","20689"
"08.03.2015 04:00 - 08.03.2015 05:00","20423","20506"
"08.03.2015 05:00 - 08.03.2015 06:00","20857","21114"
"08.03.2015 06:00 - 08.03.2015 07:00","21261","21488"
"08.03.2015 07:00 - 08.03.2015 08:00","22383","22740"
"08.03.2015 08:00 - 08.03.2015 09:00","25285","26061"
"08.03.2015 09:00 - 08.03.2015 10:00","27356","28892"
"08.03.2015 10:00 - 08.03.2015 11:00","28497","30162"
"08.03.2015 11:00 - 08.03.2015 12:00","28210","30553"
"08.03.2015 12:00 - 08.03.2015 13:00","28044","29891"
"08.03.2015 13:00 - 08.03.2015 14:00","26593","28255"
"08.03.2015 14:00 - 08.03.2015 15:00","26714","27185"
"08.03.2015 15:00 - 08.03.2015 16:00","26547","26876"
"08.03.2015 16:00 - 08.03.2015 17:00","25936","25971"
"08.03.2015 17:00 - 08.03.2015 18:00","26530","26861"
"08.03.2015 18:00 - 08.03.2015 19:00","30985","30807"
"08.03.2015 19:00 - 08.03.2015 20:00","33231","32909"
"08.03.2015 20:00 - 08.03.2015 21:00","32268","31939"
"08.03.2015 21:00 - 08.03.2015 22:00","30527","30115"
"08.03.2015 22:00 - 08.03.2015 23:00","28008","27671"
"08.03.2015 23:00 - 09.03.2015 00:00","25213","24956"
"09.03.2015 00:00 - 09.03.2015 01:00","22660","22585"
"09.03.2015 01:00 - 09.03.2015 02:00","21104","21179"
"09.03.2015 02:00 - 09.03.2015 03:00","20539","20498"
"09.03.2015 03:00 - 09.03.2015 04:00","20567","20383"
"09.03.2015 04:00 - 09.03.2015 05:00","21227","20816"
"09.03.2015 05:00 - 09.03.2015 06:00","23360","22955"
"09.03.2015 06:00 - 09.03.2015 07:00","28540","28258"
"09.03.2015 07:00 - 09.03.2015 08:00","34592","34196"
"09.03.2015 08:00 - 09.03.2015 09:00","40410","39815"
"09.03.2015 09:00 - 09.03.2015 10:00","42819","42471"
"09.03.2015 10:00 - 09.03.2015 11:00","43116","42441"
"09.03.2015 11:00 - 09.03.2015 12:00","43321","42312"
"09.03.2015 12:00 - 09.03.2015 13:00","40342","40042"
"09.03.2015 13:00 - 09.03.2015 14:00","40163","40002"
"09.03.2015 14:00 - 09.03.2015 15:00","40973","40958"
"09.03.2015 15:00 - 09.03.2015 16:00","41092","40681"
"09.03.2015 16:00 - 09.03.2015 17:00","40875","40374"
"09.03.2015 17:00 - 09.03.2015 18:00","40144","39499"
"09.03.2015 18:00 - 09.03.2015 19:00","41688","41699"
"09.03.2015 19:00 - 09.03.2015 20:00","42672","42720"
"09.03.2015 20:00 - 09.03.2015 21:00","40473","40418"
"09.03.2015 21:00 - 09.03.2015 22:00","37432","37131"
"09.03.2015 22:00 - 09.03.2015 23:00","33359","33143"
"09.03.2015 23:00 - 10.03.2015 00:00","29990","29869"
"10.03.2015 00:00 - 10.03.2015 01:00","26971","26836"
"10.03.2015 01:00 - 10.03.2015 02:00","25151","25016"
"10.03.2015 02:00 - 10.03.2015 03:00","24317","24172"
"10.03.2015 03:00 - 10.03.2015 04:00","24108","23866"
"10.03.2015 04:00 - 10.03.2015 05:00","24430","24172"
"10.03.2015 05:00 - 10.03.2015 06:00","26112","25924"
"10.03.2015 06:00 - 10.03.2015 07:00","30371","30403"
"10.03.2015 07:00 - 10.03.2015 08:00","35992","36078"
"10.03.2015 08:00 - 10.03.2015 09:00","41193","41285"
"10.03.2015 09:00 - 10.03.2015 10:00","43104","42526"
"10.03.2015 10:00 - 10.03.2015 11:00","43377","42615"
"10.03.2015 11:00 - 10.03.2015 12:00","43279","42254"
"10.03.2015 12:00 - 10.03.2015 13:00","41547","39511"
"10.03.2015 13:00 - 10.03.2015 14:00","41148","39371"
"10.03.2015 14:00 - 10.03.2015 15:00","41709","40551"
"10.03.2015 15:00 - 10.03.2015 16:00","41676","40861"
"10.03.2015 16:00 - 10.03.2015 17:00","41122","40510"
"10.03.2015 17:00 - 10.03.2015 18:00","40192","39831"
"10.03.2015 18:00 - 10.03.2015 19:00","41974","42221"
"10.03.2015 19:00 - 10.03.2015 20:00","42896","43131"
"10.03.2015 20:00 - 10.03.2015 21:00","40643","40668"
"10.03.2015 21:00 - 10.03.2015 22:00","37636","37614"
"10.03.2015 22:00 - 10.03.2015 23:00","33681","33836"
"10.03.2015 23:00 - 11.03.2015 00:00","30062","30228"
"11.03.2015 00:00 - 11.03.2015 01:00","27133","27447"
"11.03.2015 01:00 - 11.03.2015 02:00","25389","25949"
"11.03.2015 02:00 - 11.03.2015 03:00","24546","24891"
